fips_code,state_abbr,value
1,AL,0.0735754238892963
2,AK,-0.0160927602310201
4,AZ,0.0378097146374021
5,AR,-0.120102257289967
6,CA,-0.000898703575727189
8,CO,0.0194994540706244
9,CT,0.0333289055337189
10,DE,-0.0725814886245836
11,DC,-0.394456008981292
12,FL,-0.0378250808100575
13,GA,-0.0171947181537352
15,HI,-0.115659764743018
16,ID,-0.104657244835352
17,IL,-0.0419574355334255
18,IN,-0.0148753440098466
19,IA,-0.0162509315234791
20,KS,-0.133846367405851
21,KY,-0.101557028606845
22,LA,-0.132507553928653
23,ME,0.00361280914499607
24,MD,-0.0945657215589827
25,MA,0.0854748242671128
26,MI,-0.0462934960642558
27,MN,-0.0785013600025218
28,MS,-0.106550876298813
29,MO,-0.0191619650249949
30,MT,0.0608676799158341
31,NE,0.0763982158615228
32,NV,-0.0560169270615908
33,NH,0.0727484221957435
34,NJ,-0.030092804942086
35,NM,-0.0817313535135188
36,NY,-0.0176581036334943
37,NC,0.0301503075018963
38,ND,-0.237408129385736
39,OH,-0.0348561085622167
40,OK,-0.100003361626527
41,OR,0.0946582260161783
42,PA,-0.0263869190990992
44,RI,-0.154041932338058
45,SC,-0.0681827715199559
46,SD,-0.0527484260438884
47,TN,0.0085491726555007
48,TX,-0.0502106628213302
49,UT,0.0862613307824178
50,VT,0.190384007481978
51,VA,-0.0570764276927632
53,WA,-0.0612814440271722
54,WV,0.0155657900901827
55,WI,-0.14542358817568
56,WY,0.274174914702638
