month,date,deep-subprime_yoy,subprime_yoy,near-prime_yoy,prime_yoy,super-prime_yoy
72,2006-01,0.170192479098667,0.393416073017136,0.475137686048952,0.78162788318819,0.99174256119956
73,2006-02,0.20349337345345,0.316051817720978,0.401446299421154,0.603215287442012,0.851940337095065
74,2006-03,0.0287931839714473,0.0992724980425965,0.285578004408167,0.581947818289128,0.866372431712068
75,2006-04,0.220443969625213,-0.00982057327110009,0.160531003008397,0.463901935068475,0.674537045776586
76,2006-05,0.124000603794395,0.0823657630206114,0.193820975018012,0.479975218243353,0.682363502937834
77,2006-06,-0.00305873872223461,0.0590658061355278,0.115300083960746,0.329007417345885,0.742588279593852
78,2006-07,-0.0856611859021713,-0.00672345201233271,0.125077323444282,0.301788982640878,0.572925927764565
79,2006-08,0.0359572776053363,0.129228787769087,0.0628510292529945,0.284058608193696,0.47167261726871
80,2006-09,-0.103280516543138,-0.186543374658921,-0.0124278083830213,0.135772221499523,0.27407645723166
81,2006-10,0.0527639016026376,0.0676658181231329,0.0575663085683498,0.122072884897076,0.145221116904185
82,2006-11,-0.129101960463047,-0.346145986873296,-0.149789834881864,-0.0739985537129799,-0.00734278592032211
83,2006-12,-0.31142375477175,-0.155121593386307,-0.0763954239886718,-0.0531561820597608,-0.0755723394758405
84,2007-01,-0.115791537071727,-0.257237176626629,-0.162260717359209,0.059352048795152,0.012555516539948
85,2007-02,-0.35914515094979,-0.416817961761439,-0.24197930915407,-0.0970192819949188,-0.00818612643249095
86,2007-03,-0.600154767898532,-0.617499536538763,-0.486591874302701,-0.270071386392506,-0.149690722639824
87,2007-04,-0.637738321041968,-0.59058226985184,-0.565872054877495,-0.371320114715252,-0.206654372040349
88,2007-05,-0.7410301219215,-0.70065749736747,-0.557424366666104,-0.417730265905048,-0.246529949420707
89,2007-06,-0.652687055551261,-0.726380335856784,-0.660738096336919,-0.514685332316996,-0.26072166416094
90,2007-07,-0.692519874923185,-0.658327391576547,-0.618445888513089,-0.49550258815879,-0.288059852379763
91,2007-08,-0.714693130775614,-0.752208217364066,-0.657123214275791,-0.588926724875896,-0.320578380567236
92,2007-09,-0.70575679215059,-0.745480448585044,-0.76082174986006,-0.702515403692785,-0.496798518249985
93,2007-10,-0.736338272072404,-0.8046540639828,-0.769798798391091,-0.717064169825027,-0.497215138934895
94,2007-11,-0.736039464742021,-0.725553867815757,-0.760044844003343,-0.736575252103234,-0.527485577224626
95,2007-12,-0.701185915368511,-0.837072406074154,-0.835010939021069,-0.787687748889698,-0.633270920881256
96,2008-01,-0.731498571593639,-0.798744519665595,-0.81778789726856,-0.80173738073948,-0.639132458008629
97,2008-02,-0.640286627854298,-0.788610978676606,-0.844736022577663,-0.775749484138344,-0.585159039116242
98,2008-03,-0.646710872666947,-0.770893293335059,-0.806762728970636,-0.825833260358371,-0.641645774935939
99,2008-04,-0.532670368845041,-0.633294311935563,-0.735238945332066,-0.740572582416904,-0.577481877889089
100,2008-05,-0.636696945621404,-0.666726484296255,-0.840078795091895,-0.790245650986339,-0.641820652462407
101,2008-06,-0.755731935412287,-0.740139739280135,-0.815724972770537,-0.816326737203645,-0.667728967715678
102,2008-07,-0.471342313721531,-0.745500729870928,-0.747500754179901,-0.801120991523239,-0.661794668660774
103,2008-08,-0.682334192459962,-0.74440181763282,-0.820567354373969,-0.771385498712418,-0.751213484678661
104,2008-09,-0.706071770564322,-0.737270621208189,-0.696079052078981,-0.702013331486463,-0.583221608269664
105,2008-10,-0.581182232982662,-0.466717816123786,-0.723614295526261,-0.724482486601241,-0.59675647591346
106,2008-11,-0.671247431326964,-0.66983225349457,-0.761807867325835,-0.775487104797161,-0.654851383025635
107,2008-12,-0.718075542691464,-0.713747057383732,-0.729518794644214,-0.673697609427753,-0.615811841612766
108,2009-01,-0.632229193767101,-0.567768339250454,-0.75713408992742,-0.798811000046358,-0.551573073613914
109,2009-02,-0.813748715511522,-0.702698387543418,-0.574698684703193,-0.695876984920429,-0.49703902182681
110,2009-03,-0.529251090743255,-0.457109784149352,-0.424178930824029,-0.549336422667402,-0.5086021343057
111,2009-04,-0.452065265411485,-0.544303906037906,-0.274672544312444,-0.654386667444148,-0.591230202240083
112,2009-05,-0.451244494494369,-0.607997919077388,-0.478511847843579,-0.634895846194525,-0.502664529648778
113,2009-06,-0.414692446854096,-0.604752543055453,-0.324865499999931,-0.36483023383916,-0.402871896544502
114,2009-07,-0.349044961282613,-0.271974821229788,-0.608998123158168,-0.409842729339943,-0.363998146071678
115,2009-08,-0.589794917404889,-0.58461317564501,-0.218728093359063,-0.50983098184813,-0.322536061660041
116,2009-09,-0.0735692524021561,-0.305960395843837,-0.524508393763888,-0.54958675069361,-0.371800243899767
117,2009-10,-0.4862901589838,-0.553663415883477,-0.501754276444003,-0.492686859523904,-0.328737844515376
118,2009-11,-0.318303214207775,-0.684689415718561,-0.406954951811774,-0.215483280895401,-0.10469493310726
119,2009-12,0.225945560693184,-0.104520734388316,-0.10496157680355,-0.240888439690025,-0.0723103030789813
