fips_code,state_abbr,value
1,AL,-0.525657088820063
2,AK,-0.271217715778966
4,AZ,0.543625209502055
5,AR,0.0671379472189801
6,CA,0.530730002713546
8,CO,-0.157715702225595
9,CT,0.36480918783806
10,DE,0.146159998675915
11,DC,11.0498850158982
12,FL,-0.265721148416666
13,GA,-0.272156482363333
15,HI,1.81556557647656
16,ID,3.49779772727587
17,IL,1.49027236639517
18,IN,0.556698324749934
19,IA,1.08389519535077
20,KS,-0.338995154348024
21,KY,-0.257361930808559
22,LA,-0.549872341803759
23,ME,-0.0911401274027368
24,MD,-0.371455688256446
25,MA,0.278023311206971
26,MI,0.171065713573177
27,MN,0.10225394897363
28,MS,14.3980282061506
29,MO,0.0379214239627519
30,MT,1.85152991038479
31,NE,1.12304146778733
32,NV,0.567808854055915
33,NH,0.215187730911611
34,NJ,0.266007970712666
35,NM,-0.410925968926736
36,NY,0.204380313468872
37,NC,-0.00801411598298551
38,ND,-0.379125321553619
39,OH,1.70061248191402
40,OK,0.758260027424404
41,OR,0.259781221095244
42,PA,0.626687545544611
44,RI,-0.52513051824458
45,SC,0.835959923412978
46,SD,-0.301314252853366
47,TN,-0.198870035730105
48,TX,0.0872479192026669
49,UT,0.797327283183295
50,VT,-0.664169858842976
51,VA,1.91427445539894
53,WA,2.1429503930724
54,WV,-0.322499725568274
55,WI,1.01660872819628
56,WY,1.74560299169559
