month,date,younger-than-30_yoy,30-44_yoy,45-64_yoy,65-and-older_yoy
60,2005-01,NA,NA,NA,NA
61,2005-02,NA,NA,NA,NA
62,2005-03,NA,NA,NA,NA
63,2005-04,NA,NA,NA,NA
64,2005-05,NA,NA,NA,NA
65,2005-06,NA,NA,NA,NA
66,2005-07,NA,NA,NA,NA
67,2005-08,NA,NA,NA,NA
68,2005-09,NA,NA,NA,NA
69,2005-10,NA,NA,NA,NA
70,2005-11,NA,NA,NA,NA
71,2005-12,NA,NA,NA,NA
72,2006-01,-0.267935472896179,-0.651102286299831,-0.770172471305369,-0.875824224154021
73,2006-02,0.055832082238684,-0.271905885671784,-0.443716764424119,-0.610563420669455
74,2006-03,-0.0188682287891608,-0.303748689543932,-0.495447329993274,-0.599091459152079
75,2006-04,0.0809519105083039,-0.0515014590454217,-0.0447329220803552,-0.127688630716885
76,2006-05,0.00535102139268484,-0.144686901391369,-0.265322186634099,-0.459217415107956
77,2006-06,0.073168268220795,0.00847680987818755,0.0438005433020063,-0.0404405523010138
78,2006-07,0.0742916690711031,0.00979161673817464,0.0999639090470734,0.160337839567577
79,2006-08,0.0421740775167601,0.0150111601688878,0.145813737321738,0.307067718980256
80,2006-09,0.112683078573687,0.121605321230743,0.217872721099441,0.351838393385708
81,2006-10,-0.150697425327766,-0.189397079500573,-0.144147804833945,0.0966770676196032
82,2006-11,0.116638858147633,0.113411952496987,0.216974492811572,0.412316076785246
83,2006-12,0.0419475663751123,-0.0982455370887794,-0.0543450899527907,0.145639543550142
84,2007-01,-0.0365590159791469,-0.104240725326452,-0.0506538976553284,0.0096840411159802
85,2007-02,0.0287638297858952,-0.000948574028189819,0.0361780645269425,0.0627031069194888
86,2007-03,0.0284610853454079,0.106013104657801,0.259897703787156,0.349445827220507
87,2007-04,-0.0781495428146711,-0.0760330513063234,-0.044224821862925,-0.0205305213828481
88,2007-05,0.0265343593096539,0.00165071123873384,0.0857890356928892,0.104072551517533
89,2007-06,0.436400497295278,0.355695724633617,0.218519261447361,0.129410904040419
90,2007-07,-0.0105445343875483,0.0187596341662928,0.0630825989639359,0.189749463118933
91,2007-08,-0.0131326670250543,0.0119847843504599,0.0288027899972652,0.119882684227967
92,2007-09,-0.0597400270348415,-0.115635338603512,-0.0812863288787745,-0.0927006878633778
93,2007-10,-0.0444481876145238,-0.0843447044299627,-0.0604526635127159,-0.0536796912110161
94,2007-11,-0.0762273838742363,-0.13116681277908,-0.108118127672996,-0.115448773155346
95,2007-12,-0.0777569791957825,-0.15194262159438,-0.133324813147601,-0.166396961793648
96,2008-01,-0.127484926515736,-0.115774686311037,-0.126921868252858,-0.0854742355018231
97,2008-02,-0.103734876846148,-0.104980050977556,-0.0902681820252016,-0.0733124553143264
98,2008-03,-0.153402829582797,-0.253937541425337,-0.238708854798935,-0.239047320779156
99,2008-04,-0.154621171065097,-0.221689115810926,-0.165567601745665,-0.0556433798801355
100,2008-05,-0.137081392895463,-0.145314377101814,-0.130638013771594,-0.0750661009442635
101,2008-06,-0.40885114800712,-0.428577625262955,-0.281174462561479,-0.160983420785558
102,2008-07,-0.207724950503,-0.22739690725603,-0.170348888242392,-0.0223739114097961
103,2008-08,-0.106534781145093,-0.138771514652851,-0.0941655618060304,-0.0583835159634906
104,2008-09,-0.168227392016476,-0.232424697309073,-0.193591809087001,-0.144830748696903
105,2008-10,-0.0895655036303834,-0.0680198459222389,-0.074605850879997,-0.016454685193843
106,2008-11,-0.112561557059867,-0.11787948851519,-0.0859521760523601,-0.1162109797151
107,2008-12,-0.152153364521751,-0.152717396328691,-0.0923120098134993,0.0318800073283529
108,2009-01,-0.103821303823625,-0.0912613043072777,0.000253411737380471,0.0690255615633404
109,2009-02,-0.150131676839955,-0.156219094939172,-0.0845931990313513,0.034946173674119
110,2009-03,-0.124273703014503,-0.0765878068340805,-0.0538962090811642,0.0428706505302114
111,2009-04,-0.177912883028825,-0.113526427183121,-0.105342017787079,-0.0628097485699589
112,2009-05,-0.16819494032177,-0.109756351137008,-0.0378989471832907,-0.0581663971703323
113,2009-06,-0.192919034736692,-0.12573794933257,-0.113647823339381,-0.0316817039092551
114,2009-07,-0.208170492296348,-0.123280791504973,-0.098590246569118,-0.142757525138867
115,2009-08,-0.248670714819016,-0.183519002758176,-0.172642972758267,-0.158534481557481
116,2009-09,-0.188073029583089,-0.060046810610128,-0.040652944145993,0.0091412772923436
117,2009-10,-0.244041269720908,-0.234890983565734,-0.154902747947954,-0.0755617766356661
118,2009-11,-0.170464350408429,-0.141470254828234,-0.118369105959248,-0.0808100229886818
119,2009-12,-0.234373485495164,-0.167161668563117,-0.141997325093321,-0.0844300458894348
120,2010-01,-0.220987834465292,-0.149401401305204,-0.21172741905208,-0.317731531337081
121,2010-02,-0.223735098216921,-0.197929132216437,-0.280629083405197,-0.374036808934204
122,2010-03,-0.256476714174806,-0.267830169719835,-0.299744669709049,-0.367147219637732
123,2010-04,-0.213413463886788,-0.16053510291986,-0.198342778500038,-0.247752266272995
124,2010-05,-0.186562037996223,-0.192257957160107,-0.246448310423028,-0.268787708767278
125,2010-06,-0.172536925024032,-0.204830718309938,-0.250885433527024,-0.362605188379755
126,2010-07,-0.0938003767158323,-0.103427897569974,-0.176379049702937,-0.262689439214485
127,2010-08,-0.109457042486241,-0.119738767066502,-0.195397039675723,-0.23570107979092
128,2010-09,-0.102359649679684,-0.160500207384986,-0.185061564883209,-0.226036437761868
129,2010-10,-0.0840886130649012,-0.0729757992643814,-0.108056847870573,-0.186480291330799
