fips_code,state_abbr,value
1,AL,-0.13426746164279
2,AK,0.564757002292535
4,AZ,0.061461100787821
5,AR,-0.0461374055920517
6,CA,-0.0856545470332083
8,CO,-0.180338324722513
9,CT,-0.161750742658497
10,DE,0.198501351951351
11,DC,0.132415748788402
12,FL,-0.0966050064075403
13,GA,-0.116984021402275
15,HI,0.0644064247851703
16,ID,-0.0116340130468706
17,IL,-0.223814037694036
18,IN,0.0388494236111894
19,IA,0.120271559816588
20,KS,0.0906529079307228
21,KY,0.0364554343416585
22,LA,0.091427250306179
23,ME,-0.265561696578969
24,MD,-0.0494736185836863
25,MA,0.065315667349942
26,MI,-0.0896338856934465
27,MN,-0.0187363231690049
28,MS,-0.0713904566025535
29,MO,-0.15592109575953
30,MT,0.225644792363288
31,NE,-0.258128789533694
32,NV,0.0749482532397578
33,NH,-0.216582019867738
34,NJ,-0.310266433868221
35,NM,-0.128568061819542
36,NY,-0.137905361669633
37,NC,-0.18397605519273
38,ND,-0.33380533970413
39,OH,-0.149170927904623
40,OK,-0.314320661593628
41,OR,-0.23752651400281
42,PA,-0.0210100307233531
44,RI,-0.202760236118391
45,SC,0.103591510773833
46,SD,0.691194860061687
47,TN,0.0942242278643444
48,TX,-0.0457345345240503
49,UT,0.0364851367587897
50,VT,-0.0459080723394295
51,VA,-0.0396390176501341
53,WA,-0.182350584181009
54,WV,-0.208787071303513
55,WI,-0.0381358189893626
56,WY,-0.543744746499847
