month,date,tightness_index,unadjusted_credit_tightness_index
60,2005-01,78.34921,79.96065
61,2005-02,79.45275000000001,81.24164
62,2005-03,79.52584,80.44015
63,2005-04,81.53114000000001,81.74212
64,2005-05,80.52611,79.57899
65,2005-06,79.37932000000001,79.15189000000001
66,2005-07,78.47245000000001,78.04936000000001
67,2005-08,82.23757000000001,81.92486000000001
68,2005-09,79.60245,79.64273
69,2005-10,78.79531,78.18368000000001
70,2005-11,78.25358,75.49999000000001
71,2005-12,79.86535000000001,80.67846
72,2006-01,80.00871000000001,81.48947000000001
73,2006-02,77.73357,79.54782
74,2006-03,73.95001000000001,74.77069
75,2006-04,76.78164000000001,76.97288
76,2006-05,78.00193,76.97589000000001
77,2006-06,76.96312,76.90772000000001
78,2006-07,77.94160000000001,77.67830000000001
79,2006-08,78.19506000000001,77.9423
80,2006-09,76.47297,76.38271
81,2006-10,76.65833000000001,75.93478
82,2006-11,75.87153000000001,73.28782000000001
83,2006-12,71.42788,72.14048000000001
84,2007-01,78.57775000000001,79.8138
85,2007-02,77.42800000000001,79.31974000000001
86,2007-03,77.48259,78.41804
87,2007-04,76.47071000000001,76.6695
88,2007-05,77.32463000000001,76.22458
89,2007-06,77.14865,77.24049000000001
90,2007-07,77.09418000000001,77.02366000000001
91,2007-08,76.57712000000001,76.34252000000001
92,2007-09,79.51218,79.10382000000001
93,2007-10,80.54317,79.59717000000001
94,2007-11,79.16839,76.74401
95,2007-12,76.869,77.7253
96,2008-01,79.49339000000001,80.49336000000001
97,2008-02,80.40348,82.46697
98,2008-03,81.88719,82.93216000000001
99,2008-04,83.29421000000001,83.60133
100,2008-05,83.0454,81.73966
101,2008-06,86.50221000000001,86.62583000000001
102,2008-07,87.49717000000001,87.54155
103,2008-08,89.52648000000001,89.12948
104,2008-09,91.1328,90.40125
105,2008-10,95.47523000000001,94.11975000000001
106,2008-11,99.2394,96.77745
107,2008-12,100.89541,102.36053
108,2009-01,102.35424,103.47934
109,2009-02,106.36423,108.91625
110,2009-03,105.48902,106.81401
111,2009-04,104.62929,105.25158
112,2009-05,108.82024,106.94378
113,2009-06,112.30242,112.26259
114,2009-07,112.81188,112.83176
115,2009-08,110.71256,109.99362
116,2009-09,107.99684,106.6884
117,2009-10,103.87261,102.2468
118,2009-11,101.22802,99.69517
119,2009-12,99.97554000000001,102.06881
120,2010-01,98.84414000000001,100
121,2010-02,101.1144,103.11712
122,2010-03,102.44228,103.38847
123,2010-04,102.36664,103.00754
124,2010-05,101.94203,99.99442000000001
125,2010-06,97.22491000000001,96.97612000000001
126,2010-07,97.32116000000001,97.27897
127,2010-08,97.35125000000001,96.55994000000001
128,2010-09,95.04068000000001,93.78355000000001
129,2010-10,95.11851000000001,93.54039
130,2010-11,90.91306,90.42576000000001
131,2010-12,95.04480000000001,97.76634000000001
132,2011-01,92.84452,94.10507000000001
133,2011-02,91.52027000000001,92.65248000000001
134,2011-03,90.08746000000001,90.49577000000001
135,2011-04,89.03952000000001,89.49749000000001
136,2011-05,86.52007,84.83767
137,2011-06,85.34258000000001,84.88022000000001
138,2011-07,85.98178,85.84387000000001
139,2011-08,85.8914,85.06602000000001
140,2011-09,86.90074000000001,85.72129000000001
141,2011-10,86.89575000000001,85.60532000000001
142,2011-11,87.83387,88.25267000000001
143,2011-12,90.82806000000001,94.18121000000001
144,2012-01,88.42309,89.76417000000001
145,2012-02,86.70071,87.06865000000001
146,2012-03,86.17983000000001,86.02066000000001
147,2012-04,86.36777000000001,86.43653
148,2012-05,86.35167000000001,84.58656000000001
149,2012-06,86.20481000000001,85.61342
150,2012-07,86.28023,86.18162000000001
151,2012-08,86.48535000000001,85.61309000000001
152,2012-09,87.31178000000001,86.43741000000001
153,2012-10,90.78934000000001,89.77105
154,2012-11,89.18166000000001,90.20861000000001
155,2012-12,87.84133000000001,91.49983
156,2013-01,89.04910000000001,90.39133000000001
157,2013-02,86.99713000000001,86.74897000000001
158,2013-03,87.73092000000001,87.07782
159,2013-04,87.14172000000001,86.74623000000001
160,2013-05,87.2672,85.39375000000001
161,2013-06,88.82469,88.24416000000001
162,2013-07,88.12544000000001,88.09571000000001
163,2013-08,85.31085,84.49434000000001
164,2013-09,82.11932,81.69848
165,2013-10,81.46706,80.99882000000001
166,2013-11,81.71687,82.99617000000001
167,2013-12,81.39971000000001,84.93852000000001
168,2014-01,79.34729,80.33797000000001
169,2014-02,79.89022000000001,79.19626000000001
170,2014-03,79.42375000000001,78.46734000000001
171,2014-04,80.31425,79.47612000000001
172,2014-05,80.06019000000001,78.28920000000001
173,2014-06,79.51864,79.18340000000001
174,2014-07,79.04342000000001,79.20883000000001
175,2014-08,78.08411000000001,77.57471000000001
176,2014-09,78.74116000000001,78.80720000000001
177,2014-10,79.15477000000001,79.03393000000001
178,2014-11,79.19237000000001,80.29726000000001
179,2014-12,78.53898000000001,81.78304
180,2015-01,76.81288000000001,77.45498000000001
181,2015-02,76.50983000000001,75.62291
182,2015-03,75.55839,74.61013000000001
183,2015-04,72.58367000000001,71.55245000000001
184,2015-05,75.85506000000001,74.25359
185,2015-06,75.64061000000001,75.45519
186,2015-07,76.30851000000001,76.47879
187,2015-08,76.62031,76.30731
188,2015-09,75.99967000000001,76.47258000000001
189,2015-10,75.88988000000001,76.10814000000001
190,2015-11,75.11149,75.88657000000001
191,2015-12,75.82675,78.78539000000001
192,2016-01,77.87392000000001,78.13555000000001
193,2016-02,78.34589000000001,77.28576000000001
194,2016-03,78.39183000000001,77.5391
195,2016-04,77.54603,76.33311
