month,date,inquiry_index,unadjusted_inquiry_index
222,2018-07,235.0283,242.0722
223,2018-08,241.27669,248.91846
224,2018-09,244.35087,232.36221
225,2018-10,246.17912,244.12455
226,2018-11,234.65629,253.38972
227,2018-12,235.50495,247.99061
228,2019-01,242.00053,237.98851
229,2019-02,238.80921,211.99145
230,2019-03,239.25917,244.78321
231,2019-04,246.08999,240.43605
232,2019-05,251.495,251.13691
233,2019-06,245.37448,242.26694
234,2019-07,246.93338,251.97503
235,2019-08,240.91871,248.6359
236,2019-09,238.8101,227.99595
237,2019-10,241.05054,240.44369
238,2019-11,242.73177,264.27003
239,2019-12,249.77011,263.70874
240,2020-01,244.47263,239.53493
241,2020-02,249.56246,221.36925
242,2020-03,193.17118,198.45358
243,2020-04,151.54084,148.16434
244,2020-05,147.358,146.15017
245,2020-06,152.91658,150.00859
246,2020-07,154.9018,158.48909
247,2020-08,170.50506,175.58945
248,2020-09,180.48254,172.52525
249,2020-10,210.91026,211.5848
250,2020-11,210.40223,230.57714
251,2020-12,181.63377,191.56532
252,2021-01,209.5431,203.67514
253,2021-02,227.4409,201.90153
254,2021-03,252.17421,258.30199
255,2021-04,259.85604,253.39544
256,2021-05,249.50271,246.82029
257,2021-06,263.15474,258.08626
258,2021-07,259.65453,268.36518
259,2021-08,260.04612,268.51601
260,2021-09,266.43718,255.52034
261,2021-10,263.5411,265.42889
262,2021-11,281.92264,309.23462
263,2021-12,263.8874,275.9732
264,2022-01,253.05154,243.10124
265,2022-02,265.69444,235.30613
266,2022-03,273.80899,279.58342
267,2022-04,279.78465,272.73144
268,2022-05,285.72424,282.88245
269,2022-06,295.53726,292.0407
270,2022-07,298.99393,313.96743
271,2022-08,295.05286,305.06692
272,2022-09,286.36323,274.01249
273,2022-10,279.11029,281.7885
274,2022-11,281.2604,308.40031
275,2022-12,280.72889,290.48092
276,2023-01,287.66665,273.24309
277,2023-02,284.45144,251.88721
278,2023-03,284.44287,289.40033
279,2023-04,280.37802,272.52716
280,2023-05,293.4762,291.4183200000001
281,2023-06,287.23104,286.38004
282,2023-07,293.14631,311.98763
283,2023-08,280.86913,291.28658
284,2023-09,280.17272,267.5977
285,2023-10,291.6450400000001,294.64098
286,2023-11,279.06325,304.68699
287,2023-12,272.13265,279.29514
288,2024-01,275.47581,259.81214
289,2024-02,276.91751,245.00468
290,2024-03,261.16328,265.2227
291,2024-04,260.71048,253.07089
292,2024-05,258.70374,257.91252
293,2024-06,254.29023,255.14806
294,2024-07,250.58802,269.05821
295,2024-08,249.22102,258.40318
296,2024-09,244.32994,232.36793
297,2024-10,240.26937,242.39867
298,2024-11,237.22486,258.01753
