month,date,vol,vol_unadj,credit_score_group
168,2014-01,1217753986.522427,1059564523.737374,Near-prime
168,2014-01,18653997871.48053,17953778806.56563,Super-prime
168,2014-01,215427575.9210798,182780405.050505,Deep subprime
168,2014-01,421166749.8851349,361873168.6868688,Subprime
168,2014-01,4263483311.671008,3965499307.575758,Prime
169,2014-02,1196945694.506797,1030273277.777777,Near-prime
169,2014-02,18454781137.36473,16472000473.73737,Super-prime
169,2014-02,231362555.1497531,209032274.7474746,Deep subprime
169,2014-02,4263826170.936978,3750167119.191919,Prime
169,2014-02,459045311.9603404,395150067.1717172,Subprime
170,2014-03,1236190873.460816,1275944622.222222,Near-prime
170,2014-03,17926658444.74737,18135176429.79798,Super-prime
170,2014-03,234609174.7583382,262700460.6060606,Deep subprime
170,2014-03,4300442483.94309,4300548496.969698,Prime
170,2014-03,473696836.1145373,509508928.7878789,Subprime
171,2014-04,1276978823.908676,1227121457.575757,Near-prime
171,2014-04,18972639907.00933,18784887533.83839,Super-prime
171,2014-04,248432338.5692899,226811365.1515151,Deep subprime
171,2014-04,4630894585.188676,4633820112.626264,Prime
171,2014-04,498636926.1380293,459051161.1111114,Subprime
172,2014-05,1285940397.803227,1303112104.545455,Near-prime
172,2014-05,19172157857.74365,19074841202.52525,Super-prime
172,2014-05,266311855.5582393,274382382.8282829,Deep subprime
172,2014-05,4392867524.81373,4469692073.737374,Prime
172,2014-05,480485328.1749451,483586180.8080811,Subprime
173,2014-06,1306354967.625288,1363181946.464646,Near-prime
173,2014-06,17919457598.27179,17595909786.36363,Super-prime
173,2014-06,265153515.3440125,293374423.7373738,Deep subprime
173,2014-06,4245643508.213964,4291664055.555555,Prime
173,2014-06,488455889.6660184,521755258.0808083,Subprime
174,2014-07,1369470508.882821,1397183048.484849,Near-prime
174,2014-07,19238879227.97169,20064225112.1212,Super-prime
174,2014-07,289633450.6488201,280877715.1515152,Deep subprime
174,2014-07,5056264363.48314,5399112936.363639,Prime
174,2014-07,577921686.9882306,560465844.4444445,Subprime
175,2014-08,1333529655.405049,1381001827.777779,Near-prime
175,2014-08,18169947300.641,18564865905.0505,Super-prime
175,2014-08,281874770.6377176,291380039.3939394,Deep subprime
175,2014-08,4299038198.574544,4463356828.787881,Prime
175,2014-08,533368310.4784653,552244145.4545457,Subprime
176,2014-09,1350660749.62116,1366085512.121212,Near-prime
176,2014-09,18088520961.27687,17411422918.68687,Super-prime
176,2014-09,295115706.1939984,292061068.1818182,Deep subprime
176,2014-09,4322900744.588225,4205265712.12121,Prime
176,2014-09,549986628.0584997,566659442.9292932,Subprime
177,2014-10,1356041051.200197,1378060263.131314,Near-prime
177,2014-10,17619135303.23843,17984362447.47474,Super-prime
177,2014-10,305817566.8258089,292449777.2727273,Deep subprime
177,2014-10,4322016028.358784,4432423612.626262,Prime
177,2014-10,558363691.620759,549615763.6363637,Subprime
178,2014-11,1393413826.088078,1520114551.515152,Near-prime
178,2014-11,17983242005.87246,19403293845.45454,Super-prime
178,2014-11,293053869.972514,303763739.89899,Deep subprime
178,2014-11,4426936668.313209,4668429920.707074,Prime
178,2014-11,533709319.4440278,582805208.5858586,Subprime
179,2014-12,1472460024.80601,1522173252.525252,Near-prime
179,2014-12,19087696481.70576,19522092441.41413,Super-prime
179,2014-12,319968856.1804273,342597780.8080809,Deep subprime
179,2014-12,4748183821.499972,4704297298.989899,Prime
179,2014-12,579341541.4993194,631254144.4444445,Subprime
180,2015-01,1463570202.159558,1270096820.70707,Near-prime
180,2015-01,18873301217.52832,18423298426.26263,Super-prime
180,2015-01,356827432.740621,299506607.0707071,Deep subprime
180,2015-01,4559629409.975491,4285481244.444448,Prime
180,2015-01,629884152.7124382,535392984.3434347,Subprime
181,2015-02,1493869897.775015,1287363404.040404,Near-prime
181,2015-02,18460415128.17101,16447788913.63638,Super-prime
181,2015-02,326377965.2533085,298487929.7979799,Deep subprime
181,2015-02,4587368084.654894,4036209753.535353,Prime
181,2015-02,579403492.8655837,497947770.707071,Subprime
182,2015-03,1508845006.700726,1571659425.757576,Near-prime
182,2015-03,19612218293.58279,19798095189.89899,Super-prime
182,2015-03,330376137.1534221,376274428.7878789,Deep subprime
182,2015-03,4822018509.754443,4831185440.90909,Prime
182,2015-03,591950877.9346302,647031479.2929294,Subprime
183,2015-04,1581748070.230825,1518956408.080809,Near-prime
183,2015-04,20515596029.71233,20232035728.28282,Super-prime
183,2015-04,382363518.3388311,348527968.686869,Deep subprime
183,2015-04,4807426745.69736,4791395935.858587,Prime
183,2015-04,721141711.2724825,660683503.0303034,Subprime
184,2015-05,1518345095.949197,1550854293.434344,Near-prime
184,2015-05,20430725242.24031,20343722181.31313,Super-prime
184,2015-05,316968380.3764189,330897785.3535354,Deep subprime
184,2015-05,4785516520.74835,4876999970.707068,Prime
184,2015-05,619674380.8050057,627991243.4343437,Subprime
185,2015-06,1608625428.096885,1695835249.49495,Near-prime
185,2015-06,21250701504.00246,21094007226.76769,Super-prime
185,2015-06,333951406.2555544,371997507.5757577,Deep subprime
185,2015-06,5113782679.064446,5202136722.727273,Prime
185,2015-06,655401278.5587384,710936438.8888893,Subprime
186,2015-07,1568598522.317506,1614627582.828284,Near-prime
186,2015-07,20349853006.10971,21435887297.47475,Super-prime
186,2015-07,335940134.9669577,328026412.1212122,Deep subprime
186,2015-07,5062961996.736257,5430485708.080807,Prime
186,2015-07,672099469.0202823,654851517.6767683,Subprime
187,2015-08,1556785797.502942,1603536783.333333,Near-prime
187,2015-08,20789973316.19737,21303580345.95959,Super-prime
187,2015-08,329088793.599366,337719895.4545456,Deep subprime
187,2015-08,4964982613.631232,5156808177.777779,Prime
187,2015-08,647038243.6960762,666610539.3939393,Subprime
188,2015-09,1603511202.927248,1606213272.222222,Near-prime
188,2015-09,21523363116.83145,20590975886.36364,Super-prime
188,2015-09,369975834.231868,364956848.4848486,Deep subprime
188,2015-09,5207871901.308413,5015438422.222224,Prime
188,2015-09,654665412.4123428,671645640.4040408,Subprime
189,2015-10,1762386008.619389,1765906593.434344,Near-prime
189,2015-10,22146034501.93094,22592281640.90909,Super-prime
189,2015-10,319639016.2783188,300076163.1313133,Deep subprime
189,2015-10,6369805992.193208,6527122029.797982,Prime
189,2015-10,642612361.0136073,622595506.0606062,Subprime
190,2015-11,1657507853.427926,1790103822.727273,Near-prime
190,2015-11,21498137702.09644,23141414727.27272,Super-prime
190,2015-11,335181307.5965461,342117550.5050506,Deep subprime
190,2015-11,5517779864.515545,5803397530.808082,Prime
190,2015-11,654078547.3176919,704690157.0707076,Subprime
191,2015-12,1655779755.290051,1719313120.707072,Near-prime
191,2015-12,22090912280.6398,22139417377.77779,Super-prime
191,2015-12,321912274.5424765,345021830.808081,Deep subprime
191,2015-12,5473474203.61475,5380927559.595958,Prime
191,2015-12,638546585.6873182,697594011.1111116,Subprime
192,2016-01,1641160728.779381,1420931525.252526,Near-prime
