month,date,younger-than-30_yoy,30-44_yoy,45-64_yoy,65-and-older_yoy
84,2007-01,.1363864249982538,.1231455586769854,.1519432724303322,.1277935190193343
85,2007-02,.0984954171699367,.0346511815306515,.0196024074798442,-.0257327900653701
86,2007-03,.0646522355743698,.0206040152024554,.066345691164873,.1462236776653943
87,2007-04,.1199071170245439,.1337878922359585,.1469221758733316,.1870598442675619
88,2007-05,.0958005051205555,.0879179491368819,.0796808510408754,.0423540880431426
89,2007-06,.0819357972813154,.0538555006709523,.0330528134652884,.0035738622922579
90,2007-07,.0886487946199122,.0518182635848539,.0643673091507456,.0624276720054176
91,2007-08,.0689646465481472,.0137418395680491,.0068723877076196,-.0826472350638179
92,2007-09,-.0546340030637022,-.0785253851733241,-.1225283428329107,-.2453400054083714
93,2007-10,.0160739307905315,.0523524168282679,.0757683522080799,.1075627441536907
94,2007-11,-.0441631666622603,-.0353601815978501,.0043675995046045,.0261682684722001
95,2007-12,-.095535315016774,-.0911741247802536,-.0161952009558868,.1103979128789553
96,2008-01,-.077820755226623,-.1316185448875703,-.0910093548849495,-.0724309174294428
97,2008-02,-.0832544610044571,-.1540198368155147,-.1793194941907742,-.2814742366600811
98,2008-03,-.1630517889056703,-.1473386407207007,-.1140943201750754,-.1341202104768277
99,2008-04,-.1520766871061178,-.1711892527590589,-.1003262544413134,-.0594709788488291
100,2008-05,-.1968264679532293,-.176455038639719,-.0943472819119674,-.0022594459195967
101,2008-06,-.2346344624156159,-.1775756280622185,-.0708259279107744,.0263141229516967
102,2008-07,-.1983127779760318,-.1715870035215506,.0392150187942293,.4161759701425884
103,2008-08,-.310784009088497,-.2598383790800013,-.168168198179156,-.0427681700248474
104,2008-09,-.2869168403692701,-.2456318205527804,-.1739290404797231,-.0420570046534414
105,2008-10,-.3725653788161267,-.3461074093070128,-.2718151822114447,-.2006785999437119
106,2008-11,-.4225473970860885,-.3548377079647133,-.2159533803491705,-.0640070661373391
107,2008-12,-.4391656444798073,-.3962758973507755,-.3161184360249895,-.2318443060764697
108,2009-01,-.5037231958990372,-.4652239892442753,-.3780994425772577,-.2259917289054291
109,2009-02,-.5680272913929413,-.5060613096065233,-.3983895563545641,-.248664940290707
110,2009-03,-.5322989136327533,-.4862623540714552,-.3757732483421004,-.2090802438244001
111,2009-04,-.5257841821253183,-.4826096983334521,-.3994904770879431,-.2445682576856027
112,2009-05,-.5289533053672191,-.4936043471196564,-.3876310401622204,-.2676651297789642
113,2009-06,-.5166592386065627,-.5106914307432806,-.4323259062106901,-.2989936053937655
114,2009-07,-.5310653497379444,-.5196510397618967,-.5036199232170003,-.5173164127379145
115,2009-08,-.4785719997780425,-.4776415046541518,-.4051926938328967,-.331451171513146
116,2009-09,-.477751873926122,-.4749738836300303,-.396079507131296,-.3118717637137902
117,2009-10,-.3732276921121026,-.3678322191165253,-.3041070514187634,-.2094211801258203
118,2009-11,-.3150624995867162,-.2864829786209973,-.2840152603257756,-.2389696064887339
119,2009-12,-.174376994103793,-.2268243642459482,-.1803658353707168,-.1308183664557075
120,2010-01,-.120001479440111,-.1355080832576551,-.1036662992389648,-.0473191404171244
121,2010-02,-.1448116529963879,-.1550503500242585,-.1608537858870441,-.1061788056610274
122,2010-03,-.1401722103616866,-.0927817899137848,-.0949141341979963,-.049901647011786
123,2010-04,-.0850310241351516,.0340450806840005,-.063391976636319,-.0626067881844716
124,2010-05,-.0594565386778335,.0025401355018088,-.067273811733371,-.0786657198112645
125,2010-06,.0556196014856352,.0630855570966098,-.0186418262806078,-.0240398486408871
