fips_code,state_abbr,value
1,AL,4.83118207445623
4,AZ,2.12418046583596
5,AR,-0.113778952367503
6,CA,-0.425324139533605
8,CO,-0.425652101330681
9,CT,0.977663794095589
10,DE,1.26565936956525
11,DC,-0.966074884875205
12,FL,-0.231740545028267
13,GA,0.42151292978348
15,HI,-0.263354072783696
16,ID,0.0742493260042409
17,IL,0.145750669356451
18,IN,-0.45316820118362
19,IA,-0.0538579424078922
20,KS,0.130177893717859
21,KY,-0.500921826138994
22,LA,-0.315775041432038
23,ME,0.359430778721745
24,MD,0.365607750703695
25,MA,0.449407402765657
26,MI,0.0289969504050385
27,MN,0.134391041632451
28,MS,-0.425544013830328
29,MO,-0.154853284167243
30,MT,2.20067260339301
31,NE,0.493141452730393
32,NV,0.72981004902855
33,NH,-0.747690058550257
34,NJ,0.630203301382052
35,NM,1.71196047529778
36,NY,2.81792020328305
37,NC,-0.226448881401986
38,ND,3.28350162567113
39,OH,0.777415342090042
40,OK,2.65691279546349
41,OR,0.108651000300767
42,PA,0.402142102840197
44,RI,-0.220274028286143
45,SC,0.550569469346124
46,SD,0.722157448119775
47,TN,1.10644169622842
48,TX,0.612864381609571
49,UT,1.34752178178314
50,VT,-0.0192120458952831
51,VA,0.0127014489817119
53,WA,0.107664497008885
54,WV,1.05526811361756
55,WI,1.5172874152462
56,WY,-0.714895390219515
