month,date,vol,vol_unadj,income_level_group
90,2007-07,1074391994.81204,1161234576,Moderate
90,2007-07,170392122.698594,168146376,Low
90,2007-07,3564845450.8652,3911289096,Middle
90,2007-07,3810020977.57565,4187030184,High
91,2007-08,1001269090.30167,1183390752,Moderate
91,2007-08,127999871.312138,134176368,Low
91,2007-08,3546621118.66511,4266370440,Middle
91,2007-08,3578901387.43159,4026635904,High
92,2007-09,113179179.981147,109437720,Low
92,2007-09,2732366468.89601,2629372976,High
92,2007-09,2858119288.13743,2609563440,Middle
92,2007-09,815761908.02876,786397728,Moderate
93,2007-10,101010060.619856,123310992,Low
93,2007-10,2240637996.0424,2313492648,High
93,2007-10,2552696203.22886,2702810856,Middle
93,2007-10,601166570.48812,671780640,Moderate
94,2007-11,2074032146.46231,1995532152,High
94,2007-11,2188341735.57837,2202798312,Middle
94,2007-11,620220088.115912,583229616,Moderate
94,2007-11,94320898.0900752,103665528,Low
95,2007-12,1689092964.87224,1502938752,Middle
95,2007-12,1703981948.07466,1628940864,High
95,2007-12,556471355.239398,492622848,Moderate
95,2007-12,84180061.0243736,90467352,Low
96,2008-01,1819778533.90382,1385237760,Middle
96,2008-01,1819808838.80811,1389045624,High
96,2008-01,515790391.157241,439861224,Moderate
96,2008-01,74515359.1804746,50862720,Low
97,2008-02,1795950674.52245,1530540192,Middle
97,2008-02,1879892368.20591,1558025088,High
97,2008-02,449198209.736678,377670336,Moderate
97,2008-02,63271647.49726,45184128,Low
98,2008-03,1492533760.31343,1499815680,High
98,2008-03,1652423837.79338,1604329992,Middle
98,2008-03,405743740.68086,375770376,Moderate
98,2008-03,52371154.7231032,55371336,Low
99,2008-04,1498929827.89102,1640744352,High
99,2008-04,1537619529.3592,1614109656,Middle
99,2008-04,406781771.813651,503958864,Moderate
99,2008-04,46293949.9548368,41094240,Low
100,2008-05,1325910101.5082,1451773872,High
100,2008-05,1329593589.62763,1467461856,Middle
100,2008-05,331367630.51385,305861928,Moderate
100,2008-05,51158488.4491433,55560768,Low
101,2008-06,1172470480.78553,1325896464,High
101,2008-06,1266528092.24082,1392684672,Middle
101,2008-06,273056729.862748,279318864,Moderate
101,2008-06,30733107.6141269,37424904,Low
102,2008-07,1050422105.92982,1150889064,High
102,2008-07,1212889152.72189,1335825672,Middle
102,2008-07,262025244.047995,308850720,Moderate
102,2008-07,40934282.586775,39606216,Low
103,2008-08,1052516649.29346,1148404056,Middle
103,2008-08,244876471.103917,259261656,Moderate
103,2008-08,39799273.3545206,41519712,Low
103,2008-08,849702122.460267,877774752,High
104,2008-09,1003435449.05779,1070295144,Middle
104,2008-09,230342001.588986,246401352,Moderate
104,2008-09,36282365.3773189,34026720,Low
104,2008-09,892135129.95208,934234752,High
105,2008-10,197710224.595907,227340384,Moderate
105,2008-10,32673996.3510516,40502184,Low
105,2008-10,846261005.874777,887704728,High
105,2008-10,881422413.968488,948178248,Middle
106,2008-11,140926328.500171,119553384,Moderate
106,2008-11,21381239.8229719,24829776,Low
106,2008-11,743716301.179807,653869728,High
106,2008-11,828633012.220656,716879040,Middle
107,2008-12,105847739.585953,103024800,Moderate
107,2008-12,16265885.2963752,17394504,Low
107,2008-12,507175721.009759,490008984,High
107,2008-12,648601721.685766,653516664,Middle
108,2009-01,148593876.826453,118575504,Moderate
108,2009-01,18061525.9169903,11170848,Low
108,2009-01,651117370.955757,524230752,High
108,2009-01,701960176.287703,533341392,Middle
109,2009-02,180442719.450516,139485024,Moderate
109,2009-02,45679414.6817928,30958320,Low
109,2009-02,893216253.117736,673813992,Middle
109,2009-02,921486085.536812,721559136,High
110,2009-03,156488721.142703,156220008,Moderate
110,2009-03,17492553.3351046,18558984,Low
110,2009-03,711236534.441211,731786328,Middle
110,2009-03,804227603.42903,841879488,High
111,2009-04,166132894.109589,205344528,Moderate
111,2009-04,23162764.9012798,19528032,Low
111,2009-04,639881142.57942,658096776,Middle
111,2009-04,688432041.563285,739859448,High
112,2009-05,137908456.898649,118853376,Moderate
112,2009-05,21622143.0116697,23502696,Low
112,2009-05,602580644.003117,620372568,High
112,2009-05,701574335.495755,760620264,Middle
113,2009-06,162568175.415385,173375160,Moderate
113,2009-06,50991392.9250913,68446344,Low
113,2009-06,627870752.585076,706960728,High
113,2009-06,732220722.531845,832994472,Middle
114,2009-07,12666761.9518688,12039408,Low
114,2009-07,167050729.502485,200018592,Moderate
114,2009-07,578741268.076393,676078464,High
114,2009-07,716917997.011586,835987584,Middle
