fips_code,state_abbr,value
1,AL,-0.29916386125656
2,AK,-0.181524219416928
4,AZ,-0.559414799670161
5,AR,-0.610037662557773
6,CA,-0.430709112979213
8,CO,-0.387978525069314
9,CT,-0.179242367230632
10,DE,-0.348909239426731
11,DC,-0.405217246324495
12,FL,-0.38070452100428
13,GA,-0.335835974948756
15,HI,-0.719438906906134
16,ID,0.0876506450974541
17,IL,-0.153496978303134
18,IN,-0.313187654048311
19,IA,-0.621083531167194
20,KS,0.141629859742022
21,KY,-0.450972912298737
22,LA,-0.628599087274308
23,ME,-0.659779557297961
24,MD,0.0104921410506327
25,MA,-0.444435345248443
26,MI,-0.369954833749738
27,MN,-0.447781824054222
28,MS,-0.530470124885868
29,MO,-0.464580487019822
30,MT,-0.831609200213632
31,NE,-0.43088552949096
32,NV,-0.388389215719768
33,NH,-0.672149078930617
34,NJ,-0.501197915129305
35,NM,-0.781333380158762
36,NY,-0.380204011106311
37,NC,-0.41129030850325
38,ND,-0.797188925769783
39,OH,-0.377504036348011
40,OK,-0.386312669992954
41,OR,-0.256819729955448
42,PA,-0.235826880270937
44,RI,-0.676930323782452
45,SC,-0.529744393747857
46,SD,-0.481636437836682
47,TN,0.204873243165033
48,TX,-0.483627134083185
49,UT,-0.335169914487122
50,VT,1.74062624332163
51,VA,-0.252677576744741
53,WA,-0.517606126885718
54,WV,-0.580387901159848
55,WI,-0.246014445477493
56,WY,-0.168657252380127
