month,date,low_yoy,moderate_yoy,middle_yoy,high_yoy
135,2011-04,.0922261655889935,.0016073046868316,.052528967565593,.1477116429607249
136,2011-05,.1607530286900158,.2902161108612301,.231585665346748,.336278963390591
137,2011-06,.1529407323993283,.0715895786144935,.0908379980243655,.1570392531114409
138,2011-07,.2588829610106208,.2042121749165392,.1773825949205378,.2249575149715947
139,2011-08,.4581498968031104,.3716636193214773,.3639274760660806,.4272814647896409
140,2011-09,.2850568170935591,.2351840377113605,.1727316590487012,.1960664978569838
141,2011-10,-.0100012384112475,.0451462869272766,-.0526800532231608,-.049172497119897
142,2011-11,-.0524982929270832,.040682039815207,.0030531154862732,-.0344264310055213
143,2011-12,-.032674135603575,.1145034836870357,.0200154535819886,.1049599528175212
144,2012-01,.1650664326898975,.1843890029679018,.1524991156260813,.1790754556293649
145,2012-02,.2934255170286556,.116379812140411,.1137635824827126,.0926862719562424
146,2012-03,.1648062981060973,.0105611049343904,.0003561654835497,.0549212017770409
147,2012-04,-.0021588177690739,-.0530242245249844,-.0473141417908178,-.0876379484341423
148,2012-05,.0537812296832917,-.0082787036283863,.067084078711986,.0396827738841752
149,2012-06,-.0097343780692756,.0862796955014466,.0907831430791104,.1650523077018129
150,2012-07,-.0490038271049079,.0237748906488506,.0990365631471187,.1640093229998779
151,2012-08,-.0287767598959975,-.0495400836415818,-.0668373778834846,-.0555244007333806
152,2012-09,-.0856763852307347,-.1133775176868852,-.1124050450252348,-.1390119110566311
153,2012-10,.0792351258902034,8.81965321101e-06,.0529813547252619,.0750624563828263
154,2012-11,-.0893481850493969,-.1873448873155449,-.1955525407219953,-.0987113616028183
155,2012-12,-.0433631113057825,-.2159590712728886,-.162402799808328,-.2242616747604051
156,2013-01,.0271869519844215,-.1530674558106956,-.1027067416244161,-.1091409393801416
157,2013-02,-.1390598280655629,-.1556906932453724,-.1240881776406703,-.1516049916105041
158,2013-03,-.2466806045858041,-.1930328442401468,-.2065697550971792,-.23796371398079
159,2013-04,-.1115571911824835,-.1767928286852585,-.2383222728013578,-.2584257886109966
160,2013-05,-.2257996992348671,-.2350745394223655,-.2773351798534952,-.2875745942992568
161,2013-06,-.3319521280112849,-.3411511454113038,-.3551902874800892,-.434458428402298
162,2013-07,-.3213708699022927,-.3386382593201155,-.3936459348954927,-.404557696677062
163,2013-08,-.2009340630701066,-.2086638302198027,-.2003476835246656,-.1802866259306629
164,2013-09,-.1104228330302069,-.0817700708325282,-.1006641699810651,-.0742845004602419
