month,date,vol,vol_unadj,age_group
85,2007-02,5875938931.52829,3062257816,Younger than 30
86,2007-03,143535726.124115,88546992,Age 65 and older
86,2007-03,2773467629.96218,1886297376,Age 45-64
86,2007-03,3232442065.2352,2424787728,Age 30-44
86,2007-03,6470633866.61972,2920552608,Younger than 30
87,2007-04,123376878.930241,84634992,Age 65 and older
87,2007-04,2767577582.60921,1790096696,Age 45-64
87,2007-04,3309824071.76746,2363452464,Age 30-44
87,2007-04,6520162250.57426,2705068184,Younger than 30
88,2007-05,2438333992.56604,1616655080,Age 45-64
88,2007-05,3101317155.53514,2560981712,Age 30-44
88,2007-05,5980630095.16751,3519101968,Younger than 30
88,2007-05,95748431.4539545,67788200,Age 65 and older
89,2007-06,112755055.854411,88105704,Age 65 and older
89,2007-06,2414053539.86195,1772704176,Age 45-64
89,2007-06,2819900009.35719,2807060064,Age 30-44
89,2007-06,6249008915.14112,4244413272,Younger than 30
90,2007-07,110928009.865886,113167192,Age 65 and older
90,2007-07,2401370095.99586,2154636168,Age 45-64
90,2007-07,2864177432.58945,2847695384,Age 30-44
90,2007-07,5927910457.74635,5127658736,Younger than 30
91,2007-08,113256721.477099,258406880,Age 65 and older
91,2007-08,2165377289.66409,6032043008,Age 45-64
91,2007-08,2982699021.85584,5941242736,Age 30-44
91,2007-08,5669770505.64746,18088607568,Younger than 30
92,2007-09,2143079270.67032,4219983744,Age 45-64
92,2007-09,3351650954.96073,5038765104,Age 30-44
92,2007-09,5899395365.4753,12302349180,Younger than 30
92,2007-09,94545942.7776091,185984808,Age 65 and older
93,2007-10,111404219.846785,113818984,Age 65 and older
93,2007-10,1984810064.31636,2108490704,Age 45-64
93,2007-10,2517008936.13349,2710237536,Age 30-44
93,2007-10,5100884692.67157,5690135472,Younger than 30
94,2007-11,101773098.615963,63076304,Age 65 and older
94,2007-11,1974471453.07099,1310832992,Age 45-64
94,2007-11,2691665159.48226,2163134712,Age 30-44
94,2007-11,5805249685.61845,4238282616,Younger than 30
95,2007-12,114286263.906307,84351000,Age 65 and older
95,2007-12,1851708923.30917,926143200,Age 45-64
95,2007-12,2566869418.484,1679377416,Age 30-44
95,2007-12,5058927900.89217,2926545912,Younger than 30
96,2008-01,127299921.867814,108637248,Age 65 and older
96,2008-01,1950830341.95985,1587188584,Age 45-64
96,2008-01,2662722240.74628,2589394312,Age 30-44
96,2008-01,5524699082.82845,4414244312,Younger than 30
97,2008-02,120265740.585537,83596136,Age 65 and older
97,2008-02,2041146618.05928,1342657360,Age 45-64
97,2008-02,2647184385.87634,2064878800,Age 30-44
97,2008-02,5564014019.60522,3176042536,Younger than 30
98,2008-03,1715716587.24641,1088839176,Age 45-64
98,2008-03,2434188917.81301,1775411088,Age 30-44
98,2008-03,5281352140.36389,2298143040,Younger than 30
98,2008-03,94467033.968791,60097344,Age 65 and older
99,2008-04,1500603489.81424,984518512,Age 45-64
99,2008-04,2373166322.41537,1763330096,Age 30-44
99,2008-04,5155858050.28356,2224067848,Younger than 30
99,2008-04,94906769.8544032,61448096,Age 65 and older
