fips_code,state_abbr,value
1,AL,.074640628693458
2,AK,-.3504835694174638
4,AZ,.3413209409359341
5,AR,.140511714163646
6,CA,.2214005098656892
8,CO,-.0091094457352775
9,CT,.198020845697219
10,DE,.1681012160105835
11,DC,-.0669157194544555
12,FL,.2343425647581376
13,GA,.1948256168905269
15,HI,.1861045037962431
16,ID,.2980100639850652
17,IL,.0215144807797069
18,IN,.2410399799382041
19,IA,.5023310539568753
20,KS,-.2938939131927116
21,KY,.2173650085367029
22,LA,.0085635786801861
23,ME,.2638255797210208
24,MD,-.0551707870487945
25,MA,.364266661280757
26,MI,.0589939617872941
27,MN,.1065941648671805
28,MS,-.192260023141492
29,MO,.1138815776347751
30,MT,.3018519449457474
31,NE,.8564561184554528
32,NV,-.0664590368923611
33,NH,-.1446378218628825
34,NJ,.1762452890587432
35,NM,.2411247495750426
36,NY,.1023576124307099
37,NC,.2126859887019678
38,ND,.056353271141116
39,OH,.2777143516251458
40,OK,.186782000994236
41,OR,.4367464567122574
42,PA,.1117345841724445
44,RI,-.0891703934966608
45,SC,.2154977589884045
46,SD,.1002147332108486
47,TN,-.109081043982303
48,TX,.033950463914634
49,UT,.1751490019948485
50,VT,-.4149932628512171
51,VA,.0048778070548036
53,WA,.1770989299056924
54,WV,.5545784450456747
55,WI,.1593141175087996
56,WY,-.2927287504319115
