month,date,vol,vol_unadj,age_group
85,2007-02,98919013449.1868,83801965800,Age 30-44
86,2007-03,13444354243.646,15742113912,Age 65 and older
86,2007-03,24392430953.1337,23873401056,Younger than 30
86,2007-03,90719792947.6232,100243354932,Age 45-64
86,2007-03,93539767237.4536,97546643340,Age 30-44
87,2007-04,14137289147.9285,15267631176,Age 65 and older
87,2007-04,22498485363.8536,22920261888,Younger than 30
87,2007-04,88177597372.8027,91324424424,Age 45-64
87,2007-04,88998356658.2771,91575705168,Age 30-44
88,2007-05,13978978970.7801,15574238100,Age 65 and older
88,2007-05,21863031353.3452,24957373488,Younger than 30
88,2007-05,85224345509.2029,96583760184,Age 30-44
88,2007-05,87638006306.7915,95380283136,Age 45-64
89,2007-06,12615711328.1728,13306320936,Age 65 and older
89,2007-06,20591506795.1623,23155817064,Younger than 30
89,2007-06,82296195198.5889,90672946992,Age 30-44
89,2007-06,83178623952.5726,88630674984,Age 45-64
90,2007-07,11878296240.1399,11260113528,Age 65 and older
90,2007-07,19947891247.2722,21215296296,Younger than 30
90,2007-07,77049984291.6669,75575240232,Age 45-64
90,2007-07,79916599337.7689,80066115744,Age 30-44
91,2007-08,11008747459.3919,10688755080,Age 65 and older
91,2007-08,18130502984.9216,20496025944,Younger than 30
91,2007-08,68910728555.2617,70527977640,Age 45-64
91,2007-08,71067541537.4721,76392513360,Age 30-44
92,2007-09,10127908225.6812,8147627280,Age 65 and older
92,2007-09,16680958640.8856,16073987496,Younger than 30
92,2007-09,60924984461.8219,52748909928,Age 45-64
92,2007-09,62025915912.0533,54195702192,Age 30-44
93,2007-10,16123831553.4003,17147628240,Younger than 30
93,2007-10,57435305742.1979,60175935336,Age 30-44
93,2007-10,60048545838.4328,63374091024,Age 45-64
93,2007-10,9807302579.45877,9196820904,Age 65 and older
94,2007-11,15927837456.9737,16090833792,Younger than 30
94,2007-11,56941237151.6249,56885489820,Age 30-44
94,2007-11,57297488389.0608,53609832684,Age 45-64
94,2007-11,9119413969.72667,8212738152,Age 65 and older
95,2007-12,14704869914.0667,15516239832,Younger than 30
95,2007-12,58317993237.4158,56050758936,Age 45-64
95,2007-12,59746887000.6273,61228510824,Age 30-44
95,2007-12,9010596199.32055,7980148920,Age 65 and older
96,2008-01,16135002955.4328,11568227112,Younger than 30
96,2008-01,57579756017.9777,52508851440,Age 45-64
96,2008-01,59917757690.6444,52530883896,Age 30-44
96,2008-01,8527263645.75973,8785129992,Age 65 and older
97,2008-02,10600505763.6644,11881655328,Age 65 and older
97,2008-02,20140725255.1573,15751328328,Younger than 30
97,2008-02,74840886154.5113,75948233676,Age 45-64
97,2008-02,89152516520.2048,77824612392,Age 30-44
