month,date,low_yoy,moderate_yoy,middle_yoy,high_yoy
135,2011-04,-.2942019979924477,-.2187028356770054,-.2065165298939958,-.1549623232931305
136,2011-05,-.250429084100484,-.1785616880786622,-.176528553329267,-.1078168432457392
137,2011-06,-.3171463063203395,-.263111882948498,-.1966374617915086,-.1528700786119724
138,2011-07,-.0690207780725006,-.0160701464949667,-.1324473141265155,-.1692760514355471
139,2011-08,-.0224865805890028,-.111494879718839,-.1929062222332349,-.2425514498734643
140,2011-09,.0082049007650508,-.131825433585508,-.1645154361695338,-.1755128263848571
141,2011-10,-.1049343550197661,-.1266147434325916,-.1285239212745294,-.1150017916634381
142,2011-11,.025925339247057,-.1055680072527632,-.1573249810282903,-.1597363820459704
143,2011-12,-.0118426452482853,-.1190886144693563,-.1432362379659344,-.1510592302243667
144,2012-01,.0056989607777406,-.0210148057006427,-.0146068150602804,.0620999017930953
145,2012-02,.1721288317558974,.3130559399090724,.4539974921323131,.5860874910357536
146,2012-03,.243680981595092,.3195869364453022,.4512897285152409,.6477740625693842
147,2012-04,.319246918596776,.3720077269362008,.50649081122502,.6547828436670908
148,2012-05,.5099916736053289,.4699478379393816,.6364220997533445,.7868508149807112
149,2012-06,.1820929569432561,.4261322645290588,.4883026203841443,.6054974174138258
150,2012-07,.4037514097465419,.3704491468848489,.5845893229521679,.6820115590096444
151,2012-08,.2949440981497973,.5130221949426752,.5590773421172097,.6715849612576233
152,2012-09,.3030902892334768,.3071223213491808,.2547434509547149,.1879698457907379
153,2012-10,.3844811603686134,.429764141097894,.3262848526947766,.2572118771467369
154,2012-11,.1562017498713321,.2760157107863838,.2715421536795512,.1941683197235877
155,2012-12,.3705132008306144,.3410348741085312,.2881335370407575,.2750438147460473
156,2013-01,.4803333333333333,.4404964043148211,.4633155600787616,.3740877424764634
157,2013-02,.1887918047604693,.2788528847239473,.1330067046798065,.0931818149195974
158,2013-03,.2056037884767163,.1891319285387076,.0996596091858697,.0787124558569068
159,2013-04,.2039014373716629,.2512435959460645,.2198594837848237,.1813312669139847
160,2013-05,.2870600128664663,.2423069836005154,.1626712697883655,.1462636098522945
161,2013-06,.3969992280972604,.1118486875386421,.0744437081333997,.0383694129945301
162,2013-07,.0207196921645739,.0890203008881649,.0361852534576897,-.0710570555272542
163,2013-08,-.1103300733496335,-.1209050979370867,-.1818941398387172,-.355872484306209
164,2013-09,-.1426280698793142,-.2013956599623588,-.289408435283553,-.4167906283689256
165,2013-10,-.2937376920047261,-.3150465643090871,-.4027025912433849,-.5263163621249797
166,2013-11,-.3389272201201865,-.3365052046270713,-.4437938763802393,-.5480823400945442
167,2013-12,-.3287445887445889,-.3513859430995389,-.4339940549767498,-.5507193616360118
168,2014-01,-.3918036478270658,-.4564475029901713,-.5377832610628304,-.6280442446583431
169,2014-02,-.3402777777777771,-.4533436922461183,-.5357293226627221,-.6265922092859892
170,2014-03,-.5222995090016361,-.4100736745798623,-.4688344740979041,-.5636967410797109
171,2014-04,-.3221047245437484,-.389435541036915,-.4617580883822074,-.5171636848924138
172,2014-05,-.4253632760898289,-.361771657687486,-.4155434266391506,-.4995638281069651
173,2014-06,-.3088717753910974,-.2878281574650294,-.3535047892222068,-.4302434450932493
174,2014-07,-.1792949169393932,-.2574586497451373,-.3130690021541551,-.3588015453670523
175,2014-08,-.2728443833734106,-.2217708855567199,-.2516200802259934,-.2504608580155828
176,2014-09,-.1175312530760907,-.0703592495581262,-.0381636744531802,-.0604302016651565
177,2014-10,.0666406424269459,-.0290079814207818,-.0197719698782966,.0123852663107882
178,2014-11,.0499629654568719,-.023561885283382,.0482322292519546,.0499648586393886
179,2014-12,.0829356378176196,.0731803574448883,.1440898514175783,.2260327397104675
180,2015-01,.0514624213254346,.1010407032985729,.1089456743601832,.2053987886110377
181,2015-02,.205378409527468,.2639807058722206,.5097835596366836,.752115954667409
182,2015-03,.6679229122055667,.4756709202876867,.5472590820100066,.8137073982419304
183,2015-04,.4315008177129187,.3785793733914626,.3839070998563569,.4719634803022142
184,2015-05,.2412550481515996,.3049306175079272,.277664444466135,.4208340009808335
185,2015-06,.1540498675860693,.3033419935545234,.3272751514928603,.3918145482175519
186,2015-07,.1933774165867455,.2270718193344119,.2175261885576145,.1944048886665221
187,2015-08,.1648753986063527,.2068872116602379,.1476854223768154,.1379083319012734
188,2015-09,.0006692693809252,.2553201236971728,.1668337283483378,.1775806555773904
189,2015-10,.11637998640665,.1880123222246622,.1471145515633456,.1122160508952965
190,2015-11,-.0824087731674472,.0094427178679386,-.03940668080056,.0209364991339572
191,2015-12,.1176750833730347,.1612067995046722,.0473779533105943,-.0205538821368789
192,2016-01,.1575352112676053,.0886691897736926,.0686453226672321,-.0115980333196174
193,2016-02,.1019887812340631,.0367474189921281,-.0811226532871643,-.2234571394740696
194,2016-03,-.0026703640938742,-.0060600100795291,-.0578205557477392,-.1197933191315781
195,2016-04,-.1138940152913254,-.0442223544030942,.0104709090661707,-.0103629233309881
196,2016-05,.0447992792071276,.0384911470361821,.0724686397041969,.03709120982583
197,2016-06,.0346380325597504,.0676608190319547,.0479952197031359,.0561705742878745
198,2016-07,-.1612807715083323,.0317106029295919,.0191178471234071,.0689865668008064
199,2016-08,.2186961370779688,.2712147129114041,.3441091393167783,.4611231186233262
200,2016-09,.1547207669156181,.1736768793756795,.2468046501172155,.3497393089238209
201,2016-10,.0785838055542549,.2001159538478202,.248569808686967,.3984133233511548
202,2016-11,.3164663125524178,.5043440120114033,.512681336378156,.4939208380892202
203,2016-12,.1142369991474841,.1512683793827763,.2391160019613543,.2815650514172321
204,2017-01,-.0027377258623831,.208637814827953,.1131082834193609,.1030452152146005
205,2017-02,-.1098449791763069,.076345411223401,-.0274602592728373,-.0639461408246875
206,2017-03,.0670408320889754,-.0368414543655712,-.0585710555198856,-.1767871728399441
207,2017-04,-.0880194386591296,-.0389606388484962,-.1165910052706502,-.2526187528251077
208,2017-05,.1471278685383032,-.036151709945454,-.0445527980396627,-.1411951757999139
209,2017-06,.0266153331101446,-.0141049839310316,-.082359221327392,-.1847902383970868
210,2017-07,.1097382621413074,-.0765327859328411,-.0806795817015165,-.170413612591747
211,2017-08,.0783277870216305,-.0894572348801145,-.1593001937617932,-.2959863190407223
212,2017-09,.0811854426102907,-.1277182362818471,-.1704814001558301,-.3036853660624758
213,2017-10,.0025617645781773,-.0659715770641679,-.1229248461103405,-.2634468834972978
214,2017-11,.0869080484179232,-.1084689311787202,-.1655220679219725,-.2759717065451043
215,2017-12,-.0068859984697769,-.0909504294616294,-.160841230152894,-.2577219143097564
216,2018-01,.1415934602244998,-.0662650602409633,-.0473407262664036,-.1445835309146158
217,2018-02,.0391838326077074,-.0343277201874799,-.0468976933356881,-.000745460970976
218,2018-03,.0954012449934867,-.0147275972316733,-.0586716498221005,-.0426515852524821
219,2018-04,.0941764993746949,.0632497483474279,-.0114469492584632,.0173575668329665
220,2018-05,.0472769796191119,.0190035068386218,-.0770598563328721,-.0830246161579152
221,2018-06,.0834420348932004,-.0269991979923926,-.0865866902477645,-.0848326589416446
222,2018-07,.0408089070665765,.0828515107758505,-.0573018560997767,-.071967540725489
223,2018-08,.0459823322917887,-.0651113312057518,-.1156051034399674,-.0963136399516464
224,2018-09,-.1375892857142864,-.1243286277864914,-.2236093672070127,-.2144077757308507
225,2018-10,-.0556084885231694,-.1013402143888318,-.1836180842533774,-.1876866647125458
226,2018-11,-.0228593757632007,-.1148609128244473,-.1785439411051165,-.2008911090413933
227,2018-12,-.0197419106317425,-.1160879150738903,-.2265047771863537,-.2518661416278852
