month,date,deep-subprime_yoy,subprime_yoy,near-prime_yoy,prime_yoy,super-prime_yoy
96,2008-01,-.5562158246080071,-.5034492774671413,-.4448933158960216,-.3861311781104744,-.1811398333014396
97,2008-02,-.4704532052902023,-.3816656052752501,-.3713202621639638,-.2028549282722507,.3266417134710261
98,2008-03,-.4557491637126165,-.3612634540310732,-.4180494954429829,-.3444923705419839,.000364179807118
99,2008-04,-.451077791416673,-.3559191957090847,-.3557726229365497,-.3209547020312389,-.0075136896722239
100,2008-05,-.5107834362925934,-.4710387262471,-.4157525687309075,-.4121941009043655,-.1616673008998966
101,2008-06,-.5565365706832549,-.4509838299635791,-.4150987846508475,-.4244965238842787,-.22007050006165
102,2008-07,-.5849388796648134,-.4304838911349141,-.4033570802171703,-.3890742869962705,-.2039748780565561
103,2008-08,-.501866551148598,-.4551808237628086,-.4129448970010884,-.4392711856810291,-.3132951080694417
104,2008-09,-.3551803239103811,-.2641130660513415,-.2405722911334249,-.2832804415315625,-.1718219509010185
105,2008-10,-.480979654641819,-.4230140830952737,-.3548136509920509,-.3056589081569541,-.1598233904555444
106,2008-11,-.5589547165431367,-.4284741144414171,-.4790768450418466,-.5153775030633434,-.4240201289956763
107,2008-12,-.4570696283639471,-.3278039118593711,-.310234023652212,-.3335258239223656,-.1219171373035184
108,2009-01,-.4665630162277722,-.2809008482012288,-.2237417501734679,-.1970630679085066,.55597876625516
109,2009-02,-.4712069994034604,-.3635486604523818,-.2470752806920664,-.2928984644831196,.2412297273581324
110,2009-03,-.4426464112725671,-.3308176723124694,-.1680610236220466,-.1385602176147927,.4020690757418011
111,2009-04,-.4951827624401771,-.3023883916750508,-.1655631493979837,-.0814485085724147,.5004591149353644
112,2009-05,-.4739307944582032,-.2621457489878541,-.1957474303368786,.0363359816763298,.8102543512840321
113,2009-06,-.3648315736551035,-.2346058934533312,-.0690886115937445,.1962574576119278,.966694096939431
114,2009-07,-.3431593642611694,-.3112467433623142,-.0836808336705131,.1856990840236196,.7730778904333858
115,2009-08,-.5231347673734564,-.3225763346027917,-.177225312629072,.1311281942779224,.5431151511202336
116,2009-09,-.4839512116835186,-.2763118699339944,-.1521855609520021,.112644806691791,.5469859571322985
117,2009-10,-.4325400093332242,-.149974810207945,.0337488570833668,.1343809351542014,.4935546635348563
118,2009-11,-.3030941012820029,-.0273519378570548,.2865397427356124,.6913458808928084,1.306319368464416
119,2009-12,-.3250778230082445,-.2214917127071815,-.0757443126364628,.174147769511964,.5639439929023772
120,2010-01,-.6125400757796556,-.4817172374522087,-.3852574029996571,-.2149687012061951,-.2810225944093366
121,2010-02,-.5307787763697209,-.5156803703476112,-.4169616490329142,-.3003969200737452,-.5037560028677363
122,2010-03,-.4798538415958921,-.3643506877680812,-.3035997007498653,-.2132535255638127,-.3877041478295077
123,2010-04,-.2879735044504241,-.3498443786533062,-.2738918103485017,-.2249939778668886,-.4221702626914849
124,2010-05,-.4857930449533494,-.2772907099262431,-.2309333185583294,-.2984739599341102,-.4965890677821242
125,2010-06,-.3099695254680021,-.1703079957517825,-.1674443464096647,-.2228027884552738,-.3803011490458108
126,2010-07,-.5347829641134625,-.4151135856514445,-.4321747515071774,-.31474827106833,-.2172993035753648
127,2010-08,-.3516949152542358,-.3410346187986999,-.2059897891611303,-.121762950277254,.3346963336230592
128,2010-09,-.368838438812003,-.3852553131566985,-.2694283617385634,-.0171423380713044,.5688429893158639
129,2010-10,-.4346942724458198,-.4667279787451471,-.3586272123021957,-.0903702109169762,.51604937692035
130,2010-11,-.3003722285159408,-.406224250491221,-.3188902277502814,-.074082747853239,.528779348277438
131,2010-12,-.3500253421186004,-.2962410995197891,-.2057718895263388,-.0458530919507108,.4154025332820636
