fips_code,state_abbr,value
1,AL,0.896429827129711
2,AK,0.834104969568651
4,AZ,0.89830216280977
5,AR,0.556685425384965
6,CA,1.08829816878484
8,CO,1.07421339040214
9,CT,0.522889539091171
10,DE,0.529656618312074
11,DC,1.28401446359022
12,FL,0.473232847079766
13,GA,0.759379670411985
15,HI,1.66511707425048
16,ID,0.253486864430162
17,IL,0.801771059872505
18,IN,0.963151744426589
19,IA,0.375824625141231
20,KS,0.567030740710113
21,KY,0.653644203908116
22,LA,0.766634952363735
23,ME,0.427448055965041
24,MD,0.864544620105849
25,MA,0.524091339705858
26,MI,0.511465166301415
27,MN,0.728954260806786
28,MS,0.535131061369291
29,MO,0.864764952531978
30,MT,0.982245909511815
31,NE,0.36589023804241
32,NV,0.509214985388203
33,NH,0.0528989776948161
34,NJ,0.716369558656063
35,NM,-0.0753615844731236
36,NY,0.336056789755331
37,NC,0.609581287647673
38,ND,0.33099943542447
39,OH,0.22453321143737
40,OK,0.251260740839613
41,OR,0.910092521232313
42,PA,0.565222482941004
44,RI,1.62690119113814
45,SC,0.373619911264348
46,SD,1.37608433644054
47,TN,0.620265908437205
48,TX,0.563236842886504
49,UT,1.11270874020715
50,VT,0.822784965098523
51,VA,0.602953810152539
53,WA,0.893196685729286
54,WV,-0.068196677767199
55,WI,0.56547794188529
56,WY,0.449125676228131
