month,date,deep-subprime_yoy,subprime_yoy,near-prime_yoy,prime_yoy,super-prime_yoy
72,2006-01,0.271827125796138,0.904005045762706,0.0217612604716848,-0.0358769229128446,0.0171176700959299
73,2006-02,1.11419408142552,0.158283644667763,0.0360048150031869,0.0244447215888983,-0.0122622970628994
74,2006-03,0.294224344672068,0.380793123992323,0.227200124777116,0.0147441760744926,-0.00493973825688021
75,2006-04,0.188920986385751,0.241845068995329,-0.0692437652305501,-0.153752628548169,-0.162209960313065
76,2006-05,0.0389813612416767,0.260315674961416,0.114894743674533,-0.195673198728649,-0.0753798762509811
77,2006-06,0.641054373293589,-0.411034435882874,-0.214686998708298,-0.167837086442374,-0.11411046785562
78,2006-07,0.268888181803628,0.103433690601397,-0.051637933178756,-0.0846443896533278,-0.13128715989704
79,2006-08,-0.129352035216968,0.161318133015093,0.00146471929281189,-0.15435445085646,-0.0945243124173643
80,2006-09,0.365079909246963,-0.238875419592873,-0.13342085660854,-0.0647712658312323,-0.135116824753214
81,2006-10,0.0974953041209989,0.137473210898228,-0.0114816807745912,-0.173414424868866,-0.130720831459716
82,2006-11,-0.214646087339107,0.0296968977413907,-0.244652260856936,-0.263492620342075,-0.196585498455434
83,2006-12,0.268975288654919,-0.236044974407308,-0.37613797752793,-0.296631546834913,-0.207435428731905
84,2007-01,0.0820172497131022,-0.149344919574831,-0.0964193133213622,-0.145505692148035,-0.0819163020160107
85,2007-02,0.0655165459963427,-0.222979309340345,-0.2251715515822,-0.229439216101935,-0.0862140498985683
86,2007-03,0.0830795639368662,-0.217196317638257,-0.374394606068185,-0.284956463775496,-0.141248719700206
87,2007-04,0.225740519206045,-0.346713646838752,-0.293931961396548,-0.23544438191692,-0.0767414689249398
88,2007-05,-0.0637919436423011,-0.529046594033231,-0.449910422214355,-0.212201877635972,-0.142934793425274
89,2007-06,-0.184594577593257,-0.0667320102853405,-0.401634240504424,-0.269518759493804,-0.213107779361726
90,2007-07,-0.181435641417292,-0.11339155050182,-0.315407149331199,-0.309714799263912,-0.108320786665155
91,2007-08,-0.329100574705359,-0.513449000002361,-0.442978407120655,-0.308501355458385,-0.137882645187535
92,2007-09,0.239033515368045,-0.621631809977476,-0.395361602720267,-0.484279289951843,-0.201665535143717
93,2007-10,-0.307084351091768,-0.529381728584646,-0.526303827946575,-0.384296645646872,-0.154280951231431
94,2007-11,-0.588989703931636,-0.617327823265948,-0.592890778903986,-0.449092902669591,-0.192285401728462
95,2007-12,-0.535826984768166,-0.618091466500425,-0.519202695068314,-0.481602077209692,-0.237631058467991
96,2008-01,-0.579193902994314,-0.683706997516913,-0.706126626389943,-0.537222336470194,-0.30105075615775
97,2008-02,-0.729205648219079,-0.643854764933519,-0.669202799142239,-0.532646324030329,-0.186052611752724
98,2008-03,-0.36710205669334,-0.758521333519586,-0.693138730916576,-0.617885172968399,-0.300492808396678
99,2008-04,-0.770059081042998,-0.580499829387393,-0.67514067547398,-0.585547856837414,-0.202311971112237
100,2008-05,-0.53979995244862,-0.795081779434978,-0.702427148257896,-0.657097390414389,-0.293510754746887
101,2008-06,-0.786277474380562,-0.836424908469316,-0.807892552120617,-0.658732043077847,-0.379271014104437
102,2008-07,-0.685734357656061,-0.858478337121453,-0.753110373959613,-0.691715326991919,-0.401460571549194
103,2008-08,-0.789706675270355,-0.846773746368999,-0.746839574094814,-0.683296786226983,-0.530958191513465
104,2008-09,-0.780981515777126,-0.702667241136025,-0.767511454598643,-0.633941643950053,-0.425238607460162
105,2008-10,-0.773564592522135,-0.673463196813627,-0.81004984669374,-0.68728161177883,-0.519819891775908
106,2008-11,-0.428241058376466,-0.706206997243598,-0.778700751614279,-0.700199749042756,-0.599653323976885
107,2008-12,-0.402706638139396,1.51194322109558,-0.751607493891036,-0.707451151257577,-0.486914989946801
108,2009-01,-0.598032269792538,-0.852980647351918,-0.72535033978603,-0.72028712426489,-0.5061438073532
109,2009-02,-0.151318432266645,-0.731694776317528,-0.698150258896517,-0.756711336596301,-0.609824413508678
110,2009-03,-0.745941222493329,-0.701583012202871,-0.780905821112063,-0.700492996979513,-0.560267328235164
111,2009-04,-0.332699282910817,-0.604801478157582,-0.817759635076698,-0.717269003939969,-0.618664485448406
112,2009-05,-0.763427786001269,-0.618593477241391,-0.647243636527998,-0.498540956610224,-0.603264229303465
113,2009-06,-0.535028231681202,-0.419869551248438,-0.305889589773014,-0.540507805748532,-0.50804592100853
114,2009-07,-0.696163525675609,-0.419601098420641,-0.781250531006414,-0.344491954266342,-0.517337718043638
115,2009-08,-0.0815325712864035,-0.488304014206561,-0.435789157859975,-0.5995065783577,-0.479899582333193
116,2009-09,-0.9161503758897,-0.561506581228381,-0.63807835957321,-0.582443631666102,-0.50988794722279
117,2009-10,0.389457531619013,-0.617587530428914,-0.57010940265419,-0.618805860379331,-0.458695212425987
118,2009-11,-0.860991291956259,-0.711579424160281,-0.702756550276389,-0.606636466620694,-0.3765930955068
119,2009-12,-0.802144750532626,-0.942855676948965,-0.425061600941483,-0.336642863226625,-0.398617968668575
120,2010-01,-0.894270694191001,-0.437837593372881,-0.118730798555827,-0.40719470011394,-0.452546251564071
121,2010-02,-0.470258307421571,0.352329988765799,-0.132881276502597,-0.21541085808015,-0.379060141251866
122,2010-03,0.400764924632426,0.016530001301575,0.00143684426147872,-0.246652473038606,-0.29431244101081
123,2010-04,-0.330019654130944,-0.0870226854008951,-0.182576627634229,-0.110460232996556,-0.281497891991777
124,2010-05,0.661942610462164,-0.179389409838978,-0.337810854246321,-0.444410920427026,-0.236679456630859
