month,date,yoy_num,yoy_vol
72,2006-01,-0.105220883534137,0.011335005938002
73,2006-02,-0.116953082378614,0.0018086178111012
74,2006-03,-0.104737298547373,0.0127986423295376
75,2006-04,-0.226967690324874,-0.151184447811454
76,2006-05,-0.171430764900069,-0.0889131394780993
77,2006-06,-0.216811917308472,-0.132646322897354
78,2006-07,-0.241076585422202,-0.11049251680522
79,2006-08,-0.22196261682243,-0.098806963621596
80,2006-09,-0.203313346108673,-0.117843566892809
81,2006-10,-0.20767295978666,-0.129381739258564
82,2006-11,-0.230112359550562,-0.211036496627719
83,2006-12,-0.264532290165397,-0.238381657570926
84,2007-01,-0.14007670964583,-0.0964621735366504
85,2007-02,-0.190671094292996,-0.128106885267533
86,2007-03,-0.228552400557002,-0.186945173514713
87,2007-04,-0.154846498792687,-0.128676150219548
88,2007-05,-0.206539419770626,-0.179182308855715
89,2007-06,-0.212395678333441,-0.236727517682701
90,2007-07,-0.137214611872146,-0.169183187038374
91,2007-08,-0.17021567021567,-0.196449707747632
92,2007-09,-0.287011173184358,-0.284075331561097
93,2007-10,-0.211389887554502,-0.232526149273775
94,2007-11,-0.293553498457176,-0.277757322516291
95,2007-12,-0.312835347361545,-0.308524767167493
96,2008-01,-0.395871886120996,-0.380386929451869
97,2008-02,-0.278721374045802,-0.286723792770728
98,2008-03,-0.371370271542929,-0.387212362885454
99,2008-04,-0.312653905282778,-0.303356597802632
100,2008-05,-0.409902428897654,-0.38834210224665
101,2008-06,-0.474207327090521,-0.460843921419517
102,2008-07,-0.493075769603952,-0.477932797821733
103,2008-08,-0.560947524263859,-0.568230573836493
104,2008-09,-0.467841984982044,-0.477050963197273
105,2008-10,-0.555167563897376,-0.561663434011195
106,2008-11,-0.594616928343761,-0.621097388672939
107,2008-12,-0.550651819663227,-0.51743760913007
108,2009-01,-0.526390197926484,-0.546781074955244
109,2009-02,-0.572959386162191,-0.630829382454191
110,2009-03,-0.545193508114856,-0.583374343620063
111,2009-04,-0.567713075491865,-0.633624038165402
112,2009-05,-0.545910290237467,-0.593006981208741
113,2009-06,-0.430870176534916,-0.497214948239273
114,2009-07,-0.397772751000522,-0.502646855985311
115,2009-08,-0.372049456725365,-0.493656630628744
116,2009-09,-0.370961145194274,-0.520217047697119
117,2009-10,-0.38595726122983,-0.479580105139549
118,2009-11,-0.307804309842749,-0.415901849978312
119,2009-12,-0.23541855545482,-0.413213372053828
120,2010-01,-0.32603648424544,-0.446722202483948
121,2010-02,-0.315675340768278,-0.355419037463533
122,2010-03,-0.202031292890475,-0.285590843592524
123,2010-04,-0.185989010989011,-0.256432993608009
124,2010-05,-0.149331783846601,-0.264600032612578
125,2010-06,-0.175404886082899,-0.269312641850758
126,2010-07,-0.126841953192719,-0.175420728851391
127,2010-08,-0.0921837708830548,-0.119163556235185
128,2010-09,-0.0461638491547465,-0.0276675475479642
129,2010-10,0.0958806818181819,0.0356879449337988
130,2010-11,0.230963399242743,0.201979778463821
131,2010-12,0.115415019762846,0.0865982585135974
132,2011-01,0.0777559055118111,0.24187135037603
133,2011-02,-0.0167496604798552,-0.0105234122831489
134,2011-03,-0.0515995872033024,-0.00651835280560897
135,2011-04,-0.0482618967262909,0.00592147262279274
136,2011-05,-0.0368852459016393,-0.0686347067711637
137,2011-06,-0.00266311584553924,0.0233125472961222
138,2011-07,-0.099933818663137,-0.121160406553696
139,2011-08,-0.0578376602037463,-0.0261473755943589
140,2011-09,-0.101226993865031,-0.00651658050847714
141,2011-10,-0.0722618276085548,-0.0472701891137812
142,2011-11,-0.0820232399179768,-0.0436532111949479
143,2011-12,-0.0666194188518781,-0.0124148882254439
144,2012-01,0.00776255707762563,-0.0513119822985683
145,2012-02,0.0920810313075506,0.135979222361378
146,2012-03,0.0620239390642001,-0.0113869537621475
147,2012-04,0.0230496453900708,0.0055297008644033
148,2012-05,0.0939716312056738,0.0970905695703861
149,2012-06,0.0514018691588785,0.181173868254888
150,2012-07,0.0547794117647058,0.111792576203557
151,2012-08,0.151028950122079,0.164939860212896
152,2012-09,0.068638604474782,0.0431887797697013
153,2012-10,0.0600768424729305,0.141482925738534
154,2012-11,-0.0327624720774385,-0.0172850361987681
155,2012-12,0.0167046317388002,0.0971444345892523
156,2013-01,0.125056637970095,0.13146773059026
157,2013-02,0.042158516020236,0.0835914835283107
158,2013-03,0.0502049180327868,0.1515533751885
159,2013-04,0.220103986135182,0.341514467551493
160,2013-05,0.19643435980551,0.319372620758388
161,2013-06,0.146984126984127,0.0926604745828872
162,2013-07,0.300104566050889,0.382921759687628
163,2013-08,0.231818181818182,0.406879107010951
164,2013-09,0.262952448545067,0.322692672984675
165,2013-10,0.287644151565074,0.40378782633881
166,2013-11,0.287913779830639,0.420671179639834
167,2013-12,0.187453323375653,0.201341379160687
168,2014-01,0.0773258155457108,0.216062584401219
169,2014-02,0.0833333333333333,0.151102502193842
170,2014-03,0.103414634146342,0.178568770258617
171,2014-04,0.119318181818182,0.146776792461819
172,2014-05,0.172311026821999,0.203223681351276
173,2014-06,0.210905065042901,0.252258641372223
174,2014-07,0.153887399463807,0.211834915415982
175,2014-08,0.11980319803198,0.0885148652948502
176,2014-09,0.196403484124754,0.325497645095924
177,2014-10,0.144575230296827,0.170220196740654
178,2014-11,0.112970711297071,0.22175476974296
179,2014-12,0.187735849056604,0.267355133290542
180,2015-01,0.222429906542056,0.247199799495792
181,2015-02,0.20873786407767,0.344507782320056
182,2015-03,0.242852932508105,0.331389378528746
183,2015-04,0.137817258883249,0.202944506765491
